Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,0.467,0.426,0.417,0.308,0.238,0.2,0.188,0.185,0.198,0.147,0.114,0.165,0.168,0.169,0.18620024135868968
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,0.778,0.751,0.615,0.294,0.401,0.356,0.38,0.366,0.267,0.187,0.089,0.139,0.124,0.114,0.14649023798659974
1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,0.691,0.715,0.498,0.23,0.363,0.309,0.327,0.273,0.142,0.103,0.067,0.08,0.131,0.101,0.08927242969796162
1735411,Taxiatosh sh.,Тахиаташский город,Taxiatosh city,Тахиатош ш.,0.0,0.9,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,0.699,0.734,0.279,0.308,0.311,0.361,0.236,0.293,0.253,0.316,0.108,0.122,0.152,0.098,0.16393442622950818
1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,0.485,0.709,0.655,0.289,0.263,0.243,0.337,0.507,0.462,0.185,0.088,0.266,0.121,0.077,0.1604492579221821
1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.266,0.0,0.0,0.0,0.5405405405405406
1735211,Qorao‘zak tumani,Караузякский район,Karauzak district,Қораўзак тумани,0.788,0.297,0.175,0.096,0.858,0.18,0.27,0.104,0.098,0.105,0.096,0.0,0.103,0.201,0.3080082135523614
1735212,Kegeyli tumani,Кегейлийский район,Kegeyli district,Кегейли тумани,0.534,0.705,0.569,0.503,0.364,0.826,0.163,0.482,0.246,0.056,0.066,0.067,0.0,0.139,0.13774104683195593
1735215,Qo‘ng‘irot tumani,Кунградский район,Kungrad district,Қўнғирот тумани,1.381,0.839,0.984,0.366,0.466,0.56,0.307,0.625,0.195,0.147,0.0,0.11,0.105,0.07,0.1901863826550019
1735218,Qanliko‘l tumani,Канлыкульский район,Kanlykul district,Қанликўл тумани,0.42,0.586,0.93,0.188,0.529,0.0,0.368,0.098,0.296,0.0,0.276,0.0,0.183,0.0,0.09267840593141798
1735222,Mo‘ynoq tumani,Муйнакский район,Muynak district,Мўйноқ тумани,0.471,1.232,0.681,0.822,0.153,0.164,0.635,0.177,0.163,0.0,0.0,0.148,0.0,0.0,0.0
1735225,Nukus tumani,Нукусский район,Nukus district,Нукус тумани,0.943,0.781,0.489,0.353,0.455,0.583,0.251,0.247,0.177,0.082,0.0,0.0,0.077,0.073,0.08250825082508251
1735228,Taxiatosh tumani,Тахиаташский район,Takhiatash district,Тахиатош тумани,0.963,0.943,0.58,0.605,0.0,0.0,0.0,0.0,0.216,0.406,0.078,0.144,0.139,0.422,0.0744047619047619
1735230,Taxtako‘pir tumani,Тахтакупырский район,Takhtakupyr district,Тахтакўпир тумани,0.318,0.557,0.642,0.329,0.218,0.246,0.0,0.0,0.269,0.0,0.309,0.0,0.0,0.0,0.15527950310559005
1735233,To‘rtko‘l tumani,Турткульский район,Turtkul district,Тўрткўл тумани,0.951,0.948,0.634,0.134,0.335,0.298,0.389,0.446,0.309,0.286,0.109,0.263,0.241,0.211,0.27932960893854747
1735236,Xo‘jayli tumani,Ходжейлийский район,Khojeyli district,Хўжайли тумани,1.233,0.974,0.75,0.43,0.494,0.524,0.89,0.301,0.203,0.118,0.081,0.193,0.148,0.036,0.076103500761035
