Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,148124.0,144543.0,154874.0,163901.0,159348.0,156366.0,149228.0,167516.0,165623.0,163398.0,155146.0,156038.0,147593.0,144067.0,135063.0
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,10040.0,9938.0,9255.0,9035.0,8405.0,7555.0,7119.0,7875.0,7807.0,7511.0,6234.0,8211.0,7951.0,7405.0,7088.0
1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,1630.0,1660.0,1496.0,1466.0,1375.0,1241.0,1136.0,1127.0,1283.0,1316.0,1081.0,1355.0,1327.0,1245.0,1217.0
1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,1268.0,1244.0,1266.0,1257.0,1184.0,1134.0,1123.0,1234.0,1273.0,1030.0,865.0,1038.0,1041.0,1039.0,1057.0
1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,134.0,110.0,86.0,92.0
1735211,Qorao‘zak tumani,Караузякский район,Karauzak district,Қораўзак тумани,360.0,358.0,291.0,284.0,298.0,285.0,230.0,217.0,214.0,226.0,214.0,246.0,253.0,228.0,180.0
1735212,Kegeyli tumani,Кегейлийский район,Kegeyli district,Кегейли тумани,506.0,491.0,541.0,500.0,413.0,382.0,317.0,316.0,320.0,326.0,269.0,343.0,282.0,256.0,285.0
1735215,Qo‘ng‘irot tumani,Кунградский район,Kungrad district,Қўнғирот тумани,582.0,475.0,434.0,457.0,339.0,366.0,321.0,379.0,327.0,357.0,247.0,432.0,447.0,295.0,272.0
1735218,Qanliko‘l tumani,Канлыкульский район,Kanlykul district,Қанликўл тумани,363.0,360.0,335.0,295.0,326.0,228.0,262.0,255.0,233.0,248.0,232.0,307.0,252.0,218.0,226.0
1735222,Mo‘ynoq tumani,Муйнакский район,Muynak district,Мўйноқ тумани,181.0,171.0,125.0,127.0,144.0,119.0,112.0,92.0,95.0,98.0,106.0,145.0,103.0,83.0,73.0
1735225,Nukus tumani,Нукусский район,Nukus district,Нукус тумани,409.0,397.0,346.0,336.0,317.0,280.0,249.0,302.0,337.0,351.0,285.0,421.0,369.0,303.0,284.0
1735228,Taxiatosh tumani,Тахиаташский район,Takhiatash district,Тахиатош тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,150.0,95.0,121.0,123.0,160.0,132.0
1735230,Taxtako‘pir tumani,Тахтакупырский район,Takhtakupyr district,Тахтакўпир тумани,295.0,307.0,217.0,206.0,156.0,180.0,141.0,159.0,165.0,153.0,114.0,129.0,124.0,141.0,100.0
1735233,To‘rtko‘l tumani,Турткульский район,Turtkul district,Тўрткўл тумани,1108.0,1289.0,1238.0,1387.0,1190.0,1033.0,1044.0,1356.0,1148.0,1157.0,897.0,1250.0,1304.0,1347.0,1247.0
1735236,Xo‘jayli tumani,Ходжейлийский район,Khojeyli district,Хўжайли тумани,757.0,760.0,679.0,596.0,579.0,560.0,422.0,530.0,350.0,318.0,255.0,398.0,357.0,298.0,267.0
1735240,Chimboy tumani,Чимбайский район,Chimbay district,Чимбой тумани,751.0,688.0,660.0,553.0,480.0,418.0,396.0,393.0,433.0,408.0,334.0,416.0,394.0,315.0,305.0
1735243,Shumanay tumani,Шуманайский район,Shumanai district,Шуманай тумани,364.0,367.0,311.0,308.0,290.0,233.0,219.0,209.0,215.0,245.0,228.0,275.0,228.0,218.0,193.0
1735250,Ellikkala tumani,Элликкалинский район,Ellikkala district,Елликкала тумани,1466.0,1371.0,1316.0,1263.0,1314.0,1096.0,1147.0,1306.0,1223.0,1128.0,948.0,1201.0,1237.0,1173.0,1158.0
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,14839.0,14846.0,15105.0,16049.0,14291.0,15919.0,13524.0,15441.0,15686.0,14925.0,12929.0,12214.0,12415.0,12338.0,11443.0
1703401,Andijon shahri,Город Андижан,Andijan city,Aндижон шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1703408,Xonobod shahri,Город Ханабад,Khanabadcity,Хонобод шаҳри,41.0,17.0,16.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0
1703202,Oltinko‘l tumani,Алтынкульский район,Altynkul  district,Олтинкўл тумани,958.0,853.0,961.0,1004.0,911.0,879.0,740.0,862.0,899.0,866.0,792.0,710.0,782.0,802.0,687.0
1703203,Andijon tumani,Андижанский район,Andijan district,Aндижон тумани,865.0,808.0,815.0,636.0,681.0,1099.0,526.0,763.0,809.0,682.0,804.0,292.0,425.0,418.0,405.0
1703206,Baliqchi tumani,Балыкчинский район,Balykchi district,Балиқчи тумани,1440.0,1435.0,1307.0,1630.0,1373.0,1353.0,1427.0,1519.0,1499.0,1503.0,1270.0,1346.0,1304.0,1329.0,1235.0
1703209,Bo‘ston tumani,Бустонский район,Bustan district,Бўстон тумани,466.0,433.0,361.0,338.0,346.0,318.0,333.0,421.0,418.0,410.0,252.0,223.0,323.0,349.0,330.0
1703210,Buloqboshi tumani,Булакбашинский район,Bulakbashi district,Булоқбоши тумани,827.0,871.0,884.0,922.0,887.0,879.0,846.0,986.0,1037.0,1050.0,702.0,709.0,741.0,638.0,588.0
1703211,Jalaquduq tumani,Жалакудукский район,Jalаquduk district,Жалақудуқ тумани,808.0,1029.0,1135.0,1067.0,819.0,1234.0,1044.0,998.0,881.0,885.0,724.0,877.0,867.0,854.0,762.0
1703214,Izboskan tumani,Избасканский район,Izbaskan district,Избоскан тумани,1595.0,1724.0,1873.0,1837.0,1800.0,1558.0,1317.0,1487.0,1897.0,1620.0,1439.0,1311.0,1351.0,1365.0,1268.0
1703217,Ulug‘nor tumani,Улугноpский район,Ulugnor district,Улуғнор тумани,518.0,465.0,480.0,546.0,444.0,453.0,447.0,456.0,509.0,474.0,365.0,379.0,388.0,369.0,327.0
1703220,Qo‘rg‘ontepa tumani,Кургантепинский район,Kurgantepa district,Қўрғонтепа тумани,1183.0,1082.0,1004.0,1179.0,1043.0,1113.0,939.0,1155.0,1183.0,1226.0,1048.0,967.0,932.0,832.0,813.0
1703224,Asaka tumani,Асакинский район,Asaka district,Aсака тумани,2137.0,2299.0,2307.0,2383.0,2192.0,2296.0,1977.0,2216.0,2136.0,2013.0,1722.0,1732.0,1712.0,1610.0,1687.0
1703227,Marxamat tumani,Мархаматский район,Markhamat district,Мархамат тумани,782.0,662.0,402.0,503.0,383.0,675.0,488.0,733.0,459.0,479.0,425.0,547.0,390.0,436.0,334.0
1703230,Shaxrixon tumani,Шахриханский район,Shakhrikhan district,Шахрихон тумани,1433.0,1433.0,1655.0,1983.0,1804.0,1997.0,1837.0,1931.0,1981.0,1827.0,1770.0,1575.0,1641.0,1725.0,1572.0
1703232,Paxtaobod tumani,Пахтаабадский район,Pakhtaabad district,Пахтаобод тумани,1208.0,1254.0,1383.0,1382.0,1113.0,1480.0,1039.0,1277.0,1271.0,1186.0,1093.0,935.0,1019.0,1019.0,956.0
1703236,Xo‘jaobod tumani,Ходжаабадский район,Khojaabad district,Хўжаобод тумани,578.0,481.0,522.0,602.0,495.0,585.0,564.0,637.0,707.0,704.0,521.0,607.0,539.0,592.0,479.0
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,1763.0,774.0,5386.0,11162.0,10571.0,10590.0,10125.0,10308.0,10454.0,10253.0,10349.0,10511.0,9395.0,9603.0,9041.0
1706401,Buxoro shahri,Город Бухара,Bukhara city,Бухоро шаҳри,2.0,0.0,0.0,25.0,38.0,93.0,90.0,113.0,93.0,90.0,89.0,115.0,49.0,119.0,131.0
1706403,Kogon shahri,Город Каган,Kagan city,Когон шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1706204,Olot tumani,Алатский район,Alat district,Олот тумани,92.0,0.0,344.0,727.0,733.0,700.0,647.0,677.0,620.0,662.0,553.0,577.0,528.0,487.0,558.0
1706207,Buxoro tumani,Бухарский район,Bukhara district,Бухоро тумани,95.0,0.0,439.0,1033.0,916.0,931.0,924.0,923.0,934.0,981.0,895.0,1068.0,788.0,954.0,989.0
1706212,Vobkent tumani,Вабкентский район,Vobkent district,Бухоро тумани,102.0,0.0,464.0,1103.0,1114.0,1005.0,1029.0,945.0,978.0,948.0,986.0,1034.0,900.0,945.0,889.0
1706215,G‘ijduvon tumani,Гиждуванский район,Gijduvan district,Ғиждувон тумани,188.0,0.0,827.0,1982.0,1929.0,1962.0,1788.0,1901.0,1883.0,1901.0,1947.0,1881.0,1748.0,1711.0,1553.0
1706219,Kogon tumani,Каганский район,Kagan district,Когон тумани,729.0,774.0,711.0,630.0,564.0,536.0,596.0,547.0,623.0,558.0,586.0,592.0,441.0,602.0,557.0
1706230,Qorako‘l tumani,Каракульский район,Karakul district,Қоракўл тумани,108.0,0.0,466.0,1013.0,905.0,943.0,845.0,910.0,1031.0,934.0,983.0,940.0,861.0,763.0,751.0
1706232,Qorovulbozor tumani,Караулбазарский район,Qorovulbozor district,Қоровулбозор тумани,4.0,0.0,29.0,63.0,70.0,62.0,63.0,69.0,64.0,65.0,71.0,53.0,56.0,54.0,48.0
1706240,Peshku tumani,Пешкунский  район,Peshkun district,Пешку тумани,129.0,0.0,403.0,1031.0,876.0,932.0,914.0,944.0,940.0,943.0,867.0,912.0,897.0,929.0,829.0
1706242,Romitan tumani,Ромитанский район,Romitan district,Ромитан тумани,83.0,0.0,496.0,1071.0,997.0,972.0,936.0,903.0,942.0,859.0,926.0,892.0,849.0,799.0,708.0
1706246,Jondor tumani,Жондоpский район,Jondor  district,Жондор тумани,137.0,0.0,674.0,1356.0,1273.0,1209.0,1069.0,1161.0,1151.0,1141.0,1158.0,1199.0,1162.0,1165.0,1139.0
1706258,Shofirkon tumani,Шафирканский район,Shafirkan district,Шофиркон тумани,94.0,0.0,533.0,1128.0,1156.0,1245.0,1224.0,1215.0,1195.0,1171.0,1288.0,1248.0,1116.0,1075.0,889.0
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,6870.0,6270.0,6577.0,7035.0,6398.0,6212.0,6502.0,7704.0,7808.0,7800.0,8203.0,7297.0,6598.0,5685.0,5379.0
1708401,Jizzax shahri,Город Джизак,Jizzakh city,Жиззах шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
