Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,139775.0,136565.0,169701.0,155084.0,145354.0,139280.0,141548.0,157149.0,160103.0,158861.0,191086.0,256814.0,214821.0,218794.0,241796.0
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,14275.0,14041.0,12091.0,14238.0,13053.0,10850.0,9866.0,10746.0,10816.0,10003.0,7778.0,11826.0,7754.0,8399.0,10429.0
1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,3709.0,4246.0,3581.0,5926.0,4693.0,2681.0,2738.0,3070.0,3303.0,3175.0,2258.0,4035.0,2723.0,2852.0,4016.0
1735411,Taxiatosh sh.,Тахиаташский город,Taxiatosh city,Тахиатош ш.,760.0,1131.0,1092.0,743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,312.0,218.0,223.0,260.0,173.0,189.0,119.0,158.0,398.0,321.0,255.0,332.0,228.0,306.0,522.0
1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,700.0,531.0,546.0,527.0,361.0,402.0,328.0,467.0,423.0,304.0,203.0,303.0,231.0,294.0,378.0
1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,1225.0,80.0,101.0,95.0
1735211,Qorao‘zak tumani,Караузякский район,Karauzak district,Қораўзак тумани,774.0,546.0,476.0,426.0,484.0,358.0,342.0,321.0,297.0,285.0,268.0,173.0,220.0,200.0,250.0
1735212,Kegeyli tumani,Кегейлийский район,Kegeyli district,Кегейли тумани,895.0,711.0,799.0,752.0,793.0,726.0,588.0,724.0,529.0,504.0,338.0,508.0,286.0,351.0,399.0
1735215,Qo‘ng‘irot tumani,Кунградский район,Kungrad district,Қўнғирот тумани,10.0,121.0,318.0,761.0,621.0,685.0,553.0,514.0,583.0,483.0,395.0,450.0,423.0,456.0,430.0
