Canal,Other Name (Usually Older Name),Geography,Was the area irrigated in Antiquity/ Middle Ages?,Event,Date of Event,Ethnicity
Qilichbay arna,Qiliich Niyaz,Gurlen,No,Uzbeks. Thousands of Karakalpaks were sent to build it in 1815. Jamshidi Persians resettled in the 1840s,19th cent,Uzbeks
Lawdan,,Gurlen - Köne Gurganj,Yes,"Named after a Karakalpak, Lawsan. Turkmens in the region were cut off from the water by the Khivan Khan when he built a dam in the 1840s",19th cent,Turkmens
Shahmurad,,Gurlen - Köne Gurganj,Yes,"Named after a Karakalpak, Lawsan. Turkmens in the region were cut off from the water by the Khivan Khan when he built a dam in the 1840s",19th cent,Turkmens
Sipan Yab,,Gurlen - Köne Gurganj,Yes,"Named after a Karakalpak, Lawsan. Turkmens in the region were cut off from the water by the Khivan Khan when he built a dam in the 1840s",19th cent,Turkmens
Khan Yab,,Gurlen - Köne Gurganj,Yes,"Named after a Karakalpak, Lawsan. Turkmens in the region were cut off from the water by the Khivan Khan when he built a dam in the 1840s",19th cent,Turkmens
Kegeyli Canal,Kerder,Nukus-Kegeyli-Chimbay,Yes- was Amu Darya,"An ancient riverbank revived as a canal when the Amu Darya shifted westwards in the 9th century. Mangit and On Tort Uriw Qaraqalpaqs settled along the canal as refugees and captives during the 17-18th centuries, and used it as an artery for trade. Mainly used for irrigation of wheat and sorghum fields.",17-18 cent,Qaraqalpaqs
Quwanishjarma,,"Chimbay, Qarauzak",No,Named after a Qaraqalpaq Quwanish. An extension of the Kok Uzak.,18th cent,Qaraqalpaqs
Qizketken Canal,"Kok Ózák, Dosliq","Kokuzak, Nukus, Tawkara",Yes- was Amu Darya,"A floodplain, where Qaraqalpaqs conducted semi-nomadic livelihoods (upstream in the summer, dowsntream in the winter). Mixed use: grazing, farming, fishing and foraging. ",17th cent,Qaraqalpaqs
Kók uzak,"Qizketken, Dosliq","Kokuzak, Nukus, Tawkara",Yes- was Amu Darya,"A floodplain, where Qaraqalpaqs conducted semi-nomadic livelihoods (upstream in the summer, dowsntream in the winter). Mixed use: grazing, farming, fishing and foraging. ",17th cent,Qaraqalpaqs
Aq yaqish,,Tawkara,Yes- was Amu Darya,"A floodplain, where Qaraqalpaqs conducted semi-nomadic livelihoods (upstream in the summer, dowsntream in the winter). Mixed use: grazing, farming, fishing and foraging. ",17th cent,Qaraqalpaqs
Daryaliq,Kunya Darya,"Saryqamysh, Köne Gurganj",Yes,"The former Amu Darya river towards the Caspian. Inhabited by Yomud Turkmens, but cut off by the Khan",19th cent,Turkmens
"Khanabad Canals (Sapay, Shahmurad Yab)",,Dashawuz,Yes,Karakalpaks were sent here annually to build the canals. Turkmen inhabited the region.,19th cent,Turkmens
Shavat Canal,Vadak,Honqa Urgench,Possibly (Dawdan canal),Xorezmians on the best land and Turkmens at the ends of the canals,17th cent,Uzbeks
Shahbad,Vadak,Honqa Urgench,Possibly (Dawdan canal),Xorezmians on the best land and Turkmens at the ends of the canals,17th cent,Uzbeks
Yarmish,Buve,Katqala,Possibly (Buve canal),Xorezmians on the best land and Turkmens at the ends of the canals,17th cent,Uzbeks
