Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,14.8,14.1,13.8,13.4,13.9,15.1,14.1,15.4,13.1,12.4,12.0,12.3,11.4,12.3,12.523952481344688
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,16.5,15.2,16.3,15.8,16.1,15.7,17.1,20.9,17.3,14.1,14.4,13.5,13.8,15.8,16.809645751683288
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,12.8,12.9,15.0,15.0,15.0,17.6,17.5,19.9,17.4,15.4,15.3,15.0,12.2,12.4,14.964516134849065
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,15.3,14.2,14.3,12.8,13.3,13.3,12.4,12.6,9.6,10.3,9.4,10.0,9.6,9.4,9.926360172671746
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,12.2,11.2,10.8,9.6,13.3,13.5,14.2,17.7,13.8,14.8,11.7,13.2,12.1,9.2,11.01341586494326
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,13.6,13.7,12.9,11.6,11.3,12.5,11.2,13.2,12.9,11.2,11.2,14.4,15.0,15.2,15.422950560321475
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,10.1,10.5,11.5,10.5,12.0,12.4,11.8,12.5,8.9,9.7,9.1,9.9,7.4,9.7,9.79168346935275
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,15.6,16.2,15.7,14.1,14.5,16.0,13.7,18.6,15.4,13.7,14.1,13.5,9.1,12.9,11.399595777440517
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,13.3,12.1,11.0,11.0,11.3,13.8,10.7,10.3,10.1,9.7,8.5,9.1,9.9,12.6,10.746002539404802
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,13.6,12.8,13.3,14.2,15.6,15.3,14.8,15.3,14.0,13.8,12.8,14.4,14.7,13.2,11.76457738001057
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,13.4,13.3,14.3,13.6,13.8,16.1,17.8,17.2,15.7,15.0,13.0,13.2,17.2,13.3,13.584937587921583
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,14.7,14.0,12.7,14.0,13.5,14.3,14.5,14.3,12.0,12.2,12.8,11.2,7.8,9.4,10.59079714375112
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,18.3,16.9,15.8,13.7,12.4,13.1,10.9,10.8,9.2,8.7,8.9,8.3,8.0,9.3,10.131986694682494
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,15.8,14.6,14.6,12.7,17.2,17.7,18.1,20.2,15.3,15.6,14.6,15.9,11.3,11.2,12.198162519753376
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,19.3,17.6,15.1,17.2,19.2,22.0,20.1,19.7,14.5,14.4,14.0,13.0,13.5,15.4,16.856653870721665
