Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,82.5,82.7,82.7,82.6,82.3,81.4,76.4,75.6,75.3,76.6,67.4,68.3,71.6,75.0,77.1
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,69.6,68.2,69.2,71.0,68.1,67.7,56.7,48.2,54.4,52.9,56.7,57.5,66.1,66.4,68.6
1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,91.1,89.4,86.5,89.4,91.3,91.5,90.4,90.3,95.4,89.8,94.6,92.5,93.3,95.2,96.2
1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,46.3,39.9,39.3,28.5,38.0,38.1,22.3,18.2,25.9,27.1,30.0,30.3,41.7,42.0,42.2
1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,45.9,47.1,46.4,36.0,42.1,42.2,30.7,27.0,27.0,25.5,26.4,26.8,41.0,41.1,41.3
1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.2,37.6,34.1,73.1,73.1,81.0
1735211,Qorao‘zak tumani,Караузякский район,Karauzak district,Қораўзак тумани,76.8,78.2,77.1,47.2,67.1,67.2,35.8,33.0,41.8,44.1,46.3,51.3,58.7,58.6,59.0
1735212,Kegeyli tumani,Кегейлийский район,Kegeyli district,Кегейли тумани,60.3,57.3,58.3,63.1,69.1,69.3,46.6,44.5,46.4,44.1,51.0,46.6,62.9,65.0,70.8
1735215,Qo‘ng‘irot tumani,Кунградский район,Kungrad district,Қўнғирот тумани,68.2,75.6,75.7,75.3,76.4,76.5,54.5,51.0,60.4,57.1,65.1,54.4,72.2,70.4,70.5
1735218,Qanliko‘l tumani,Канлыкульский район,Kanlykul district,Қанликўл тумани,81.9,80.4,82.3,74.5,53.0,53.1,59.6,58.1,64.7,64.6,71.2,63.2,81.9,78.7,79.5
1735222,Mo‘ynoq tumani,Муйнакский район,Muynak district,Мўйноқ тумани,70.5,49.9,49.6,53.8,56.6,56.7,44.3,45.9,54.3,60.8,67.4,72.0,71.8,70.9,75.9
1735225,Nukus tumani,Нукусский район,Nukus district,Нукус тумани,76.6,80.7,79.1,75.5,73.2,73.4,32.2,29.5,40.0,47.7,53.1,68.5,59.0,61.1,61.3
1735228,Taxiatosh tumani,Тахиаташский район,Takhiatash district,Тахиатош тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.8,77.4,79.6,52.6,86.5,84.0,84.4
1735230,Taxtako‘pir tumani,Тахтакупырский район,Takhtakupyr district,Тахтакўпир тумани,82.5,80.2,79.8,81.1,80.6,80.8,59.4,60.3,60.9,58.2,62.4,80.8,72.2,72.6,83.7
1735233,To‘rtko‘l tumani,Турткульский район,Turtkul district,Тўрткўл тумани,59.3,63.4,62.7,70.8,72.5,72.7,46.8,42.3,44.0,36.7,38.8,66.5,51.1,51.2,51.3
1735236,Xo‘jayli tumani,Ходжейлийский район,Khojeyli district,Хўжайли тумани,71.5,69.1,68.8,64.9,65.7,65.8,64.4,66.3,72.6,74.8,78.8,39.8,83.7,83.7,91.0
1735240,Chimboy tumani,Чимбайский район,Chimbay district,Чимбой тумани,68.1,53.2,53.0,55.2,57.8,57.9,33.3,34.4,36.2,39.0,44.0,81.3,55.2,55.8,67.7
1735243,Shumanay tumani,Шуманайский район,Shumanai district,Шуманай тумани,81.9,72.8,72.3,67.2,73.0,73.2,47.2,41.4,53.6,59.0,61.9,47.2,74.9,75.1,82.8
1735250,Ellikkala tumani,Элликкалинский район,Ellikkala district,Елликкала тумани,72.3,76.5,75.6,75.1,86.0,86.1,31.9,27.6,31.9,31.5,33.6,66.6,53.3,52.8,53.0
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,89.8,92.0,92.9,93.1,91.4,91.9,92.2,92.7,93.9,97.8,82.3,77.3,79.4,84.7,83.8
1703401,Andijon shahri,Город Андижан,Andijan city,Aндижон шаҳри,97.2,99.6,99.0,96.8,95.4,95.6,95.6,96.6,97.1,96.9,98.6,90.4,91.3,88.5,86.0
1703408,Xonobod shahri,Город Ханабад,Khanabadcity,Хонобод шаҳри,95.7,98.0,97.0,91.7,90.4,90.5,90.5,92.7,94.8,100.0,86.1,86.7,89.0,90.7,90.0
1703202,Oltinko‘l tumani,Алтынкульский район,Altynkul  district,Олтинкўл тумани,93.0,94.1,95.5,86.9,84.8,85.7,85.7,92.5,92.5,95.6,82.7,73.1,74.6,73.9,73.4
1703203,Andijon tumani,Андижанский район,Andijan district,Aндижон тумани,95.4,95.5,97.1,87.6,85.8,86.6,86.6,91.7,93.3,97.4,84.3,70.4,72.6,72.8,70.9
1703206,Baliqchi tumani,Балыкчинский район,Balykchi district,Балиқчи тумани,94.6,96.9,93.6,83.6,81.5,82.5,82.5,91.9,92.6,99.3,72.9,65.8,71.6,84.3,84.2
1703209,Bo‘ston tumani,Бустонский район,Bustan district,Бўстон тумани,89.8,92.0,91.5,86.2,84.2,85.1,85.1,92.2,95.2,100.0,84.5,76.3,75.9,85.0,84.5
1703210,Buloqboshi tumani,Булакбашинский район,Bulakbashi district,Булоқбоши тумани,96.5,97.0,98.6,89.5,87.0,88.2,88.2,92.3,95.3,100.0,86.0,73.1,73.5,78.1,77.4
1703211,Jalaquduq tumani,Жалакудукский район,Jalаquduk district,Жалақудуқ тумани,85.2,86.3,88.2,86.6,85.9,86.1,86.1,92.5,93.9,96.5,81.9,80.3,79.5,98.5,98.1
1703214,Izboskan tumani,Избасканский район,Izbaskan district,Избоскан тумани,87.2,88.1,90.2,85.4,83.8,84.5,84.5,92.0,93.3,97.7,64.5,66.9,76.0,82.1,81.7
1703217,Ulug‘nor tumani,Улугноpский район,Ulugnor district,Улуғнор тумани,92.9,93.8,95.3,86.1,83.3,84.6,84.6,92.2,94.5,100.0,86.3,82.5,87.5,87.0,86.9
1703220,Qo‘rg‘ontepa tumani,Кургантепинский район,Kurgantepa district,Қўрғонтепа тумани,87.7,89.8,90.0,85.7,84.4,85.0,85.0,91.9,93.5,94.4,86.6,89.5,89.9,96.2,95.6
1703224,Asaka tumani,Асакинский район,Asaka district,Aсака тумани,93.0,92.7,96.7,90.4,88.4,89.3,89.3,92.6,93.5,96.5,81.1,76.6,78.6,99.4,98.7
1703227,Marxamat tumani,Мархаматский район,Markhamat district,Мархамат тумани,90.5,92.7,95.9,87.7,85.6,86.6,86.6,92.2,93.6,100.0,74.3,61.4,64.5,71.2,71.0
1703230,Shaxrixon tumani,Шахриханский район,Shakhrikhan district,Шахрихон тумани,76.0,77.9,80.8,89.7,88.0,88.7,88.7,91.9,93.1,96.0,76.1,86.1,85.6,85.0,84.4
1703232,Paxtaobod tumani,Пахтаабадский район,Pakhtaabad district,Пахтаобод тумани,94.4,96.7,98.2,88.6,87.4,87.9,87.9,92.2,93.9,97.5,84.8,65.7,68.0,69.7,69.5
1703236,Xo‘jaobod tumani,Ходжаабадский район,Khojaabad district,Хўжаобод тумани,87.8,89.9,87.1,88.7,86.6,87.5,87.5,92.2,92.5,99.5,83.6,87.6,87.5,87.1,86.2
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,61.0,60.6,61.4,60.9,59.5,57.7,58.2,45.7,39.6,39.9,41.7,50.9,55.6,58.3,69.2
1706401,Buxoro shahri,Город Бухара,Bukhara city,Бухоро шаҳри,99.4,99.3,99.0,99.2,97.2,98.1,98.4,98.2,100.0,99.6,99.9,99.6,99.7,99.8,99.8
1706403,Kogon shahri,Город Каган,Kagan city,Когон шаҳри,100.0,97.0,100.0,100.0,100.0,100.0,100.0,100.0,99.3,89.0,94.0,95.6,97.1,97.5,100.0
1706204,Olot tumani,Алатский район,Alat district,Олот тумани,48.0,46.3,53.8,52.5,44.4,33.9,33.7,18.4,12.9,13.5,14.6,31.3,39.0,43.6,52.5
1706207,Buxoro tumani,Бухарский район,Bukhara district,Бухоро тумани,56.1,51.8,63.2,62.4,72.5,75.2,76.0,86.5,69.0,63.1,64.3,57.0,58.0,59.2,68.8
1706212,Vobkent tumani,Вабкентский район,Vobkent district,Бухоро тумани,53.2,56.7,58.3,57.1,50.2,56.4,54.1,29.8,24.2,24.9,26.2,35.9,40.3,42.2,50.5
1706215,G‘ijduvon tumani,Гиждуванский район,Gijduvan district,Ғиждувон тумани,41.3,44.4,52.4,51.6,47.2,44.1,50.3,27.4,19.7,25.7,26.8,40.0,44.8,46.5,66.9
1706219,Kogon tumani,Каганский район,Kagan district,Когон тумани,68.0,69.6,69.2,66.8,66.7,92.7,92.9,54.9,53.0,47.8,49.7,54.8,57.0,59.7,61.0
1706230,Qorako‘l tumani,Каракульский район,Karakul district,Қоракўл тумани,32.3,31.6,33.8,33.2,29.7,23.0,19.3,12.1,3.4,3.9,5.3,22.3,29.8,32.8,61.6
1706232,Qorovulbozor tumani,Караулбазарский район,Qorovulbozor district,Қоровулбозор тумани,86.0,87.6,99.7,97.8,92.9,93.1,93.1,93.0,100.0,90.8,91.9,91.3,96.3,97.0,99.2
