Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,183858.0,184149.0,210653.0,189650.0,183916.0,168579.0,167796.0,175748.0,174832.0,169547.0,203629.0,275079.0,221319.0,233175.0,250409.0
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,26971.0,29848.0,23099.0,20528.0,19130.0,16181.0,14449.0,15009.0,14861.0,14110.0,12517.0,18588.0,13270.0,15875.0,14843.0
1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,6775.0,6939.0,5414.0,4449.0,4199.0,4787.0,3361.0,3610.0,3585.0,2931.0,2329.0,3663.0,2372.0,3538.0,3526.0
1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,763.0,842.0,939.0,914.0,823.0,546.0,550.0,533.0,601.0,613.0,1705.0,1007.0,687.0,829.0,885.0
1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,1487.0,1242.0,1120.0,836.0,721.0,644.0,666.0,579.0,594.0,568.0,615.0,679.0,417.0,650.0,540.0
1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,1417.0,292.0,382.0,371.0
1735211,Qorao‘zak tumani,Караузякский район,Karauzak district,Қораўзак тумани,1080.0,990.0,769.0,807.0,730.0,691.0,537.0,589.0,644.0,602.0,549.0,647.0,395.0,522.0,586.0
1735212,Kegeyli tumani,Кегейлийский район,Kegeyli district,Кегейли тумани,1552.0,1682.0,1415.0,1300.0,1279.0,971.0,921.0,1072.0,1110.0,1191.0,711.0,1258.0,638.0,787.0,839.0
1735215,Qo‘ng‘irot tumani,Кунградский район,Kungrad district,Қўнғирот тумани,1269.0,2195.0,1459.0,1353.0,1273.0,1002.0,995.0,876.0,959.0,1012.0,681.0,1375.0,748.0,1280.0,1021.0
1735218,Qanliko‘l tumani,Канлыкульский район,Kanlykul district,Қанликўл тумани,685.0,716.0,605.0,693.0,711.0,516.0,533.0,542.0,523.0,485.0,473.0,568.0,466.0,471.0,443.0
1735222,Mo‘ynoq tumani,Муйнакский район,Muynak district,Мўйноқ тумани,602.0,553.0,422.0,459.0,391.0,220.0,261.0,296.0,233.0,194.0,184.0,294.0,264.0,396.0,399.0
1735225,Nukus tumani,Нукусский район,Nukus district,Нукус тумани,1080.0,1109.0,1313.0,1474.0,1143.0,712.0,678.0,826.0,839.0,961.0,636.0,957.0,623.0,804.0,778.0
1735228,Taxiatosh tumani,Тахиаташский район,Takhiatash district,Тахиатош тумани,1723.0,2103.0,1488.0,1181.0,0.0,0.0,0.0,0.0,911.0,707.0,413.0,870.0,718.0,857.0,687.0
1735230,Taxtako‘pir tumani,Тахтакупырский район,Takhtakupyr district,Тахтакўпир тумани,1289.0,1913.0,1251.0,939.0,941.0,676.0,489.0,537.0,524.0,489.0,318.0,521.0,2186.0,705.0,546.0
1735233,To‘rtko‘l tumani,Турткульский район,Turtkul district,Тўрткўл тумани,1009.0,913.0,796.0,708.0,723.0,673.0,678.0,756.0,571.0,586.0,663.0,706.0,548.0,622.0,672.0
1735236,Xo‘jayli tumani,Ходжейлийский район,Khojeyli district,Хўжайли тумани,3999.0,4714.0,2863.0,2081.0,3214.0,2448.0,2386.0,2146.0,1200.0,1141.0,869.0,1652.0,989.0,1484.0,1261.0
1735240,Chimboy tumani,Чимбайский район,Chimbay district,Чимбой тумани,1565.0,1807.0,1569.0,1695.0,1458.0,1113.0,1088.0,1282.0,1331.0,1408.0,983.0,1609.0,993.0,1331.0,1159.0
1735243,Shumanay tumani,Шуманайский район,Shumanai district,Шуманай тумани,901.0,1010.0,759.0,781.0,740.0,587.0,629.0,566.0,568.0,495.0,505.0,599.0,421.0,542.0,524.0
1735250,Ellikkala tumani,Элликкалинский район,Ellikkala district,Елликкала тумани,1192.0,1120.0,917.0,858.0,784.0,595.0,677.0,799.0,668.0,727.0,674.0,766.0,513.0,675.0,606.0
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,6296.0,5783.0,7752.0,7489.0,7362.0,7947.0,7525.0,8360.0,8460.0,9731.0,10684.0,9796.0,8471.0,8540.0,9068.0
