Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,90802.6,99141.6,103492.7,116688.3,119985.4,125056.2,129679.1,134080.1,139838.5,150196.7,154818.5,182744.7,195204.9,206289.4,213877.7
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,3759.0,4200.0,3892.3,4619.5,5163.8,5333.8,6184.4,7516.4,7506.9,7979.0,8069.7,8136.5,8279.2,8542.2,8829.5
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,12107.5,12551.5,13140.3,13880.8,14360.6,14661.8,14852.1,15325.9,15418.1,15598.8,15830.0,21771.2,25809.1,26425.3,27661.2
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,5023.5,5309.6,5182.2,5455.9,5745.5,5931.4,6079.2,6324.5,7128.1,8260.9,9018.0,9609.6,9952.9,10427.5,10689.0
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,813.4,828.4,833.6,866.8,900.0,973.4,1086.8,1093.9,1120.5,1221.1,1444.3,2705.3,2763.1,3659.8,4058.4
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,5828.0,9008.1,8621.3,9685.9,9914.5,11278.6,11622.8,12136.7,13070.5,13743.9,13358.4,12999.9,14441.7,15283.8,15477.5
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,2174.0,2288.6,2320.3,2451.5,2532.8,2688.9,2879.5,3091.7,3207.1,3496.8,3623.3,3883.3,4173.7,4672.0,5019.0
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,9932.6,13239.6,13593.5,15289.0,15879.3,16166.1,17189.7,16032.5,16434.1,18462.6,18826.3,19548.1,20038.4,20662.0,21109.0
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,6413.8,6594.6,7115.1,7258.2,7549.5,7785.1,8096.5,8463.8,8864.6,9423.4,9583.6,14543.5,15013.8,15720.6,16262.8
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,2511.8,3561.6,4923.1,5140.4,5255.6,5444.8,5625.4,5916.6,6373.3,7152.0,7328.3,11858.1,12042.6,12043.3,12633.8
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,3487.2,3430.2,3645.1,3704.5,3725.0,3718.2,3370.8,3303.8,3359.1,3420.4,3571.3,3624.6,3771.0,5333.4,5674.5
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,13186.2,11835.7,12406.3,19348.1,19594.5,19972.6,20296.1,20857.2,21195.4,22083.6,23190.2,23293.9,25094.8,27520.6,27778.5
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,7833.3,7728.2,7828.6,7914.4,8043.5,8478.2,8787.5,8969.7,9247.0,9447.9,9689.0,16306.4,16666.8,16976.4,17573.9
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,2765.3,2841.5,3135.6,3534.4,3770.1,3966.2,4054.4,4147.4,4304.4,4484.5,4601.4,4733.6,4924.1,5345.9,6130.5
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,14967.0,15724.0,16855.4,17538.9,17550.7,18657.3,19553.8,20900.1,22609.1,25421.9,26684.9,29730.8,32233.7,33676.6,34980.1
