Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,45283.9,43138.3,46198.1,42734.8,44429.9,44794.7,44234.3,44517.2,44376.5,44479.4,44719.5,45015.6,45663.2,45899.5,46521.8
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,1036.7,701.9,1021.4,1046.0,1046.0,1046.0,1013.8,1013.8,1013.8,721.9,721.9,721.9,721.9,721.9,721.9
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,1138.4,903.9,852.5,850.2,850.2,850.2,850.2,850.2,850.2,850.2,850.2,850.2,850.2,850.2,850.2
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,2043.4,2043.4,2252.1,2043.4,2046.7,2047.8,2047.8,2047.6,2017.7,2027.5,1987.6,1987.6,1987.6,1983.8,1983.4
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,3868.7,3868.7,3865.4,3868.7,3868.5,3868.5,3868.5,3868.5,3868.5,3886.3,3886.3,3583.0,3582.9,3476.1,3336.6
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,3591.0,1148.8,1929.1,1802.7,1802.7,1803.5,1803.8,1803.8,1803.8,1803.8,1634.9,1634.9,1634.9,1634.9,1634.9
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,1775.1,1790.1,1777.3,1776.1,1778.1,1777.8,1778.5,1777.8,1799.1,1799.1,1799.0,1736.1,1753.0,1809.6,1861.1
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,1041.2,1165.1,1138.9,1049.1,1049.1,1053.0,1053.0,1053.0,1053.0,1053.0,1053.0,1053.0,1094.3,1094.3,1086.5
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,1791.8,1785.4,1777.2,1850.7,1850.8,1850.8,1850.8,1850.8,1850.8,1850.8,1914.6,1969.3,2118.2,2121.5,2242.8
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,8.2,0.0,884.3,883.3,883.3,883.3,921.2,921.0,932.8,935.8,957.4,924.8,924.8,924.8,924.8
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,2416.5,2354.9,2724.9,2748.4,2748.3,2749.0,2063.9,1806.0,1818.4,1824.6,1787.8,1787.8,1841.4,1645.7,1425.0
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,5681.9,6212.0,6596.5,3361.4,3365.7,3361.2,3361.2,3365.2,3365.2,3375.4,3329.4,3516.2,3516.2,3566.7,3566.6
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,2948.6,3211.2,3229.6,3239.3,3241.5,3331.1,3343.1,3369.3,3372.3,3371.9,3371.6,3545.0,3544.7,3544.7,3595.1
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,1022.3,991.8,1010.5,991.1,991.1,991.1,991.1,991.6,991.6,991.6,991.6,991.6,967.6,967.6,959.6
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,16920.1,16961.1,17138.4,17224.4,18907.7,19181.2,19287.3,19798.5,19639.2,19987.4,20434.4,20714.4,21125.5,21557.7,22333.3
