Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,136565.3,143797.0,142042.0,147520.5,147520.5,151997.5,157783.4,166432.8,172205.6,179395.7,185585.5,235085.2,242183.9,258614.0,260772.5
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,6733.6,8389.2,8371.6,9232.0,9232.0,9376.8,9986.9,13056.1,13081.4,14025.4,14107.5,14613.4,15328.8,15934.4,16545.6
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,8795.5,9176.5,9269.4,9693.6,9693.6,10065.6,10560.3,10990.7,11337.9,11598.6,11871.4,18046.3,20710.5,20949.8,21296.9
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,5935.9,5892.2,5853.6,5775.8,5775.8,5775.7,5775.8,5775.8,5807.5,5807.5,5823.9,5823.9,5823.9,5794.5,5793.8
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,5782.4,6152.1,6417.2,7351.7,7351.8,7560.5,7848.5,8191.4,8507.1,8973.7,9444.6,12390.8,12888.7,13266.3,13192.1
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,7877.2,8331.8,8837.7,9024.0,9024.0,10375.0,12271.5,14839.0,17497.0,18634.4,19439.1,21281.7,21543.1,22833.9,23006.4
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,5051.9,5023.4,5105.9,5174.8,5174.8,5222.3,5418.4,6202.0,6499.8,6677.8,6840.0,8066.2,8310.4,9777.6,10531.3
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,11304.5,14278.8,14416.7,15320.0,15320.0,15596.1,16052.0,15763.9,16166.1,17213.1,19327.6,19987.4,20387.5,20525.6,20571.5
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,15889.0,16011.9,16136.8,16626.7,16626.7,17236.7,17956.0,19039.4,19452.3,19915.8,20567.4,32383.6,32486.9,33640.0,34110.3
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,21957.1,22432.5,18840.4,18936.9,18936.9,18988.1,19117.1,19227.1,19278.3,19364.1,19811.4,18965.3,18965.3,19332.4,19332.4
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,3664.3,3754.6,3861.9,4188.7,4188.7,4295.5,4737.2,5167.5,5713.1,6497.8,6540.6,9713.7,9730.2,9434.7,9547.4
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,11167.7,11484.5,11924.5,13510.9,13510.9,13461.6,13702.6,13479.3,13750.6,14277.6,15003.3,16490.5,17656.7,27909.0,27909.0
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,16622.2,16623.1,16732.4,16915.8,16915.8,18209.7,18509.0,18816.3,19107.9,19258.1,19478.5,38375.7,38877.5,39372.1,39087.6
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,8506.4,8555.8,8473.9,8685.5,8685.5,8681.3,9031.2,9162.2,9202.9,9979.1,10118.8,10553.4,10821.8,11027.5,11251.7
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,7277.6,7690.6,7800.0,7084.1,7084.1,7152.6,6817.1,6722.1,6803.7,7172.9,7211.5,8393.2,8652.6,8816.2,8596.5
