Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,11.0,10.4,10.2,9.8,10.8,11.4,10.7,11.5,9.9,9.3,9.4,9.2,8.7,8.5,8.956472809597924
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,11.8,11.2,11.8,11.4,12.5,11.6,13.7,16.6,13.9,10.8,12.1,10.6,10.9,11.5,12.890076722144192
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,9.4,9.2,11.9,12.0,12.5,14.2,14.3,15.7,14.5,12.2,12.8,12.5,8.8,9.9,11.792878049298913
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,11.3,10.2,10.6,9.7,10.2,10.0,9.5,9.5,7.4,7.7,7.5,7.6,7.2,7.2,6.957867218601593
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,8.8,8.8,8.1,7.1,10.6,9.9,11.1,13.7,9.8,11.4,8.7,9.1,8.7,5.3,7.420227707051705
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,10.1,9.6,8.8,8.1,8.1,8.6,7.9,9.0,9.0,7.8,8.0,9.3,11.2,10.0,10.647750202242342
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,6.6,7.4,7.6,7.4,9.2,9.8,8.9,9.6,7.0,7.4,7.4,7.1,4.8,7.1,6.738783004880925
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,12.5,12.5,11.9,11.0,11.4,12.2,9.9,14.3,12.1,10.2,10.6,10.6,7.7,9.5,7.983880376635131
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,9.4,9.0,7.7,7.9,8.7,10.1,8.0,7.5,7.2,7.1,6.5,6.5,6.7,8.2,7.350671161640141
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,7.8,6.6,7.4,7.9,9.9,9.9,9.0,9.1,9.3,8.4,8.6,9.1,11.5,7.7,6.62179500529413
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,10.2,10.7,11.6,10.1,11.3,12.9,15.1,13.1,12.1,11.7,9.8,10.1,14.6,10.0,10.682915284921398
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,11.0,10.6,9.9,10.3,10.3,10.9,11.0,10.6,9.2,9.3,10.7,9.0,6.4,6.7,8.340280805080534
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,14.1,12.7,12.1,10.0,9.5,9.1,7.4,7.5,6.0,6.0,6.6,5.9,6.2,6.0,6.849626120354524
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,12.0,11.8,11.3,9.7,14.2,14.2,14.6,16.2,13.0,12.6,12.6,12.6,8.4,8.7,9.522428803671167
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,17.1,15.6,13.1,14.5,16.9,19.9,17.8,17.1,12.8,12.6,12.2,11.5,11.1,11.5,12.949248502190878
