Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,21.0,23.1,20.2,20.0,19.1,18.9,17.4,21.0,20.2,19.6,18.5,14.4,13.9,15.9,14.788077139791584
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,26.4,27.9,23.6,25.6,22.0,29.0,25.4,13.2,27.4,36.5,30.5,24.8,11.7,27.3,38.42366898009174
1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,0.0,0.0,0.0,32.8,31.6,30.9,17.2,0.0,35.4,51.7,16.8,32.1,0.0,28.7,29.757476565987204
1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.1,0.0,0.0,20.3,38.0,19.6,61.47540983606558
1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,0.0,0.0,0.0,24.1,0.0,22.1,112.5,0.0,21.0,0.0,66.3,0.0,0.0,0.0,20.056157240272764
1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.2,0.0,0.0
1735211,Qorao‘zak tumani,Караузякский район,Karauzak district,Қораўзак тумани,0.0,0.0,0.0,0.0,85.8,90.2,0.0,103.5,0.0,105.3,0.0,0.0,0.0,0.0,0.0
1735212,Kegeyli tumani,Кегейлийский район,Kegeyli district,Кегейли тумани,0.0,0.0,0.0,50.3,0.0,51.6,0.0,60.2,122.8,56.5,0.0,0.0,0.0,0.0,68.87052341597796
1735215,Qo‘ng‘irot tumani,Кунградский район,Kungrad district,Қўнғирот тумани,0.0,0.0,0.0,0.0,33.3,37.3,0.0,0.0,39.0,36.8,38.8,36.5,0.0,34.8,0.0
1735218,Qanliko‘l tumani,Канлыкульский район,Kanlykul district,Қанликўл тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.4,0.0,178.7,0.0,0.0,0.0,0.0,0.0
1735222,Mo‘ynoq tumani,Муйнакский район,Muynak district,Мўйноқ тумани,0.0,0.0,0.0,0.0,306.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1735225,Nukus tumani,Нукусский район,Nukus district,Нукус тумани,0.0,0.0,0.0,88.2,90.9,0.0,0.0,0.0,0.0,0.0,92.5,0.0,0.0,0.0,82.50825082508251
1735228,Taxiatosh tumani,Тахиаташский район,Takhiatash district,Тахиатош тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.9,135.4,77.6,0.0,0.0,140.5,0.0
1735230,Taxtako‘pir tumani,Тахтакупырский район,Takhtakupyr district,Тахтакўпир тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.4,139.3,0.0,0.0,0.0,0.0,155.27950310559004
