Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,83.5,83.5,83.5,83.1,78.5,68.7,64.8,59.2,55.5,54.9,55.5,55.4,55.5,55.5,56.7
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,95.1,94.3,95.1,96.1,92.3,73.0,70.9,65.8,68.2,65.3,68.9,69.0,70.7,70.7,71.0
1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,99.9,99.1,95.8,98.6,99.3,99.3,99.0,100.0,100.0,95.8,100.0,96.3,96.4,96.4,96.3
1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,97.8,96.7,95.8,91.5,60.0,39.0,34.6,29.8,38.3,34.6,38.3,38.0,39.3,39.3,38.4
1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,79.1,78.6,78.3,78.6,66.3,48.7,53.0,40.7,41.1,38.2,40.7,38.9,40.3,40.3,41.8
1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.7,62.6,63.5,63.5,66.0
1735211,Qorao‘zak tumani,Караузякский район,Karauzak district,Қораўзак тумани,95.3,92.7,93.1,91.8,82.6,63.2,54.4,50.1,51.0,50.5,51.5,52.0,53.2,53.2,64.9
1735212,Kegeyli tumani,Кегейлийский район,Kegeyli district,Кегейли тумани,89.7,84.4,83.5,91.2,90.9,80.3,76.6,68.9,68.7,76.6,76.7,77.1,79.8,79.8,82.0
1735215,Qo‘ng‘irot tumani,Кунградский район,Kungrad district,Қўнғирот тумани,99.7,99.5,99.4,99.9,95.8,84.6,81.6,75.1,77.0,71.3,77.1,78.7,80.9,80.9,74.9
1735218,Qanliko‘l tumani,Канлыкульский район,Kanlykul district,Қанликўл тумани,95.8,98.8,99.8,99.9,94.6,85.8,86.5,83.7,82.6,82.4,87.2,86.3,88.7,88.7,88.9
1735222,Mo‘ynoq tumani,Муйнакский район,Muynak district,Мўйноқ тумани,85.6,82.5,82.5,79.4,88.3,81.9,78.8,79.8,79.2,80.5,83.1,84.1,85.1,85.1,82.3
1735225,Nukus tumani,Нукусский район,Nukus district,Нукус тумани,93.7,99.1,98.8,99.2,96.3,76.9,64.9,57.3,67.8,61.6,64.9,71.4,73.4,73.4,74.7
1735228,Taxiatosh tumani,Тахиаташский район,Takhiatash district,Тахиатош тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,86.3,89.5,91.0,94.1,94.1,91.0
1735230,Taxtako‘pir tumani,Тахтакупырский район,Takhtakupyr district,Тахтакўпир тумани,97.8,93.8,94.2,95.1,87.4,54.2,69.0,66.9,67.4,69.3,76.4,76.6,77.0,77.0,77.5
1735233,To‘rtko‘l tumani,Турткульский район,Turtkul district,Тўрткўл тумани,89.2,89.6,90.2,98.8,83.5,59.6,60.1,55.8,56.3,47.7,52.2,52.0,52.2,52.2,54.5
1735236,Xo‘jayli tumani,Ходжейлийский район,Khojeyli district,Хўжайли тумани,98.3,99.9,98.3,98.7,95.8,85.7,84.4,84.9,86.4,90.3,90.3,93.8,94.0,94.0,94.2
1735240,Chimboy tumani,Чимбайский район,Chimbay district,Чимбой тумани,98.9,95.6,96.6,99.9,93.9,83.7,74.4,70.5,70.8,71.5,75.2,75.8,79.7,79.7,82.1
1735243,Shumanay tumani,Шуманайский район,Shumanai district,Шуманай тумани,93.1,68.5,86.3,96.4,83.0,58.6,59.6,53.1,59.5,68.3,71.6,72.2,76.8,76.8,80.8
1735250,Ellikkala tumani,Элликкалинский район,Ellikkala district,Елликкала тумани,99.1,98.6,98.3,99.9,75.9,55.6,55.3,44.9,45.4,45.5,49.6,47.3,52.2,52.2,48.9
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,74.0,73.7,73.6,73.6,72.5,63.0,60.7,60.6,36.3,40.7,43.9,48.6,42.8,42.8,41.6
1703401,Andijon shahri,Город Андижан,Andijan city,Aндижон шаҳри,98.7,98.6,97.2,92.4,92.0,87.6,91.6,91.4,78.2,81.6,82.8,75.4,76.2,76.2,71.4
1703408,Xonobod shahri,Город Ханабад,Khanabadcity,Хонобод шаҳри,84.0,84.5,84.9,90.1,89.7,80.6,77.0,73.9,72.9,74.2,78.1,78.1,74.1,74.1,72.5
1703202,Oltinko‘l tumani,Алтынкульский район,Altynkul  district,Олтинкўл тумани,86.0,88.6,88.3,71.0,70.6,62.1,74.1,70.6,55.3,61.2,68.0,68.0,66.0,66.0,64.4
1703203,Andijon tumani,Андижанский район,Andijan district,Aндижон тумани,77.0,79.3,82.2,79.0,78.6,63.1,59.6,58.1,32.4,33.7,35.0,53.4,33.9,33.9,32.1
1703206,Baliqchi tumani,Балыкчинский район,Balykchi district,Балиқчи тумани,83.2,85.0,86.4,73.5,73.1,62.6,58.9,56.1,30.4,33.0,33.6,33.6,30.8,30.8,30.5
1703209,Bo‘ston tumani,Бустонский район,Bustan district,Бўстон тумани,82.4,81.1,78.5,68.6,68.2,64.7,63.8,63.6,24.3,24.7,25.5,39.6,21.6,21.6,21.2
1703210,Buloqboshi tumani,Булакбашинский район,Bulakbashi district,Булоқбоши тумани,78.9,79.0,79.3,70.5,70.1,63.6,62.2,58.9,28.1,71.2,79.7,79.7,69.4,69.4,67.9
1703211,Jalaquduq tumani,Жалакудукский район,Jalаquduk district,Жалақудуқ тумани,61.4,60.5,62.3,75.3,74.9,60.4,46.8,47.2,24.2,25.7,32.6,35.2,28.9,28.9,28.6
1703214,Izboskan tumani,Избасканский район,Izbaskan district,Избоскан тумани,49.5,52.1,54.0,73.3,72.9,65.4,37.3,30.5,13.4,14.0,14.7,19.2,15.0,15.0,14.8
1703217,Ulug‘nor tumani,Улугноpский район,Ulugnor district,Улуғнор тумани,81.2,80.6,79.8,59.9,59.5,56.0,57.1,57.6,29.2,42.4,55.5,56.3,47.9,47.9,47.4
1703220,Qo‘rg‘ontepa tumani,Кургантепинский район,Kurgantepa district,Қўрғонтепа тумани,56.2,58.0,61.7,72.9,72.5,62.0,51.9,50.3,29.2,32.0,34.2,56.4,35.6,35.6,35.1
1703224,Asaka tumani,Асакинский район,Asaka district,Aсака тумани,82.1,85.7,84.0,71.2,70.8,63.3,71.7,69.7,32.4,35.5,36.0,39.1,37.8,37.8,36.8
1703227,Marxamat tumani,Мархаматский район,Markhamat district,Мархамат тумани,76.1,73.3,70.3,68.7,68.3,64.8,58.6,60.7,32.6,38.0,39.2,39.2,35.4,35.4,34.4
1703230,Shaxrixon tumani,Шахриханский район,Shakhrikhan district,Шахрихон тумани,58.2,56.2,54.4,72.0,71.6,63.1,44.1,44.9,12.4,12.6,15.4,17.5,18.0,18.0,17.8
