Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,36.9,37.8,37.6,37.8,37.8,36.5,35.9,35.8,35.7,36.3,37.3,43.6,48.2,49.2,50.1
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,11.0,11.1,11.2,11.2,10.5,10.5,10.1,10.7,10.7,9.9,11.4,15.6,33.3,36.8,38.2
1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,32.9,37.1,36.3,31.7,32.7,47.5,57.6,61.6,61.7
1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3,0.5,0.5,1.7,2.2,21.5,23.9,26.0
1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,0.0,0.0,0.0,0.0,0.0,0.0,2.1,2.7,2.6,3.5,6.2,6.4,25.0,28.2,29.5
1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,3.4,4.3,21.4,22.7,25.2
1735211,Qorao‘zak tumani,Караузякский район,Karauzak district,Қораўзак тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,3.4,25.2,26.9,29.1
1735212,Kegeyli tumani,Кегейлийский район,Kegeyli district,Кегейли тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,2.4,3.6,29.2,33.1,35.2
1735215,Qo‘ng‘irot tumani,Кунградский район,Kungrad district,Қўнғирот тумани,0.0,0.0,0.0,0.0,0.0,0.0,15.6,19.3,19.0,22.1,21.9,28.4,37.6,39.2,38.1
1735218,Qanliko‘l tumani,Канлыкульский район,Kanlykul district,Қанликўл тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.3,4.6,5.6,28.3,30.4,32.6
